id,drug,cyp2d6,CL_sampled,Vd_sampled,Css,dCdt_rel_24h,dCdt_rel_72h,pct_drop_24h,pct_drop_72h,t_75pct,t_50pct,t_25pct,t_10pct,AUC_deficit_7d
5793,Venlafaxine_XR,normal,88.09073386234653,744.8423180785245,0.050724,-0.03634,-0.013846,87.216,99.694,NA,4.426,14.73,27.3,8.0321
5794,Venlafaxine_XR,normal,129.21122454565293,517.6312269613728,0.07778,-0.030661,-0.013399,73.587,96.473,NA,8.749,25.311,47.156,11.7298
5795,Venlafaxine_XR,rapid,92.4663701352353,1299.1449453985922,0.052377,-0.031341,-0.013693,75.217,98.593,1.126,10.325,23.839,40.004,7.973
5796,Venlafaxine_XR,normal,107.99234747816112,856.7824151774095,0.048112,-0.036349,-0.013847,87.239,99.696,NA,4.575,14.781,27.254,7.6162
5797,Venlafaxine_XR,normal,60.73202713584061,393.8730125659393,0.127273,-0.024145,-0.012259,57.949,88.265,2.25,17.493,43.555,78.017,17.6151
5798,Venlafaxine_XR,poor,20.545451618483767,576.805365016844,0.132049,-0.021893,-0.012272,52.544,88.359,5.748,22.034,46.775,76.864,18.0177
5799,Venlafaxine_XR,rapid,99.80980080043696,616.1088039630719,0.051773,-0.036891,-0.013843,88.539,99.673,NA,3.164,13.21,25.862,8.241
5800,Venlafaxine_XR,normal,78.49428484136901,988.8835572239924,0.100817,-0.022972,-0.012576,55.133,90.55,5.961,20.414,42.514,70.305,13.9926
5801,Venlafaxine_XR,rapid,152.57450566036576,347.12655888807546,0.064419,-0.033982,-0.013666,81.556,98.392,NA,4.343,18.014,36.045,10.0315
5802,Venlafaxine_XR,normal,102.56899296288938,804.7808842780902,0.058495,-0.033947,-0.013757,81.473,99.052,NA,6.82,18.976,34.137,9.0898
5803,Venlafaxine_XR,normal,100.95998382489478,876.2536244142065,0.049323,-0.035832,-0.013838,85.998,99.637,NA,5.206,15.779,28.632,7.7766
5804,Venlafaxine_XR,normal,58.94702837037343,351.8361460139815,0.061801,-0.037638,-0.01385,90.33,99.718,NA,1.212,10.969,23.542,9.9141
5805,Venlafaxine_XR,normal,57.93395642920706,417.7581634309062,0.082047,-0.03243,-0.013588,77.832,97.836,NA,6.939,21.503,40.459,12.5931
5806,Venlafaxine_XR,normal,96.61479844356673,530.217087018555,0.058735,-0.035688,-0.013794,85.65,99.317,NA,3.894,15.173,29.711,9.2669
5807,Venlafaxine_XR,rapid,105.19407962092528,860.5155655551296,0.047857,-0.036368,-0.013849,87.283,99.709,NA,4.591,14.777,27.188,7.5767
5808,Venlafaxine_XR,rapid,231.0839030153175,565.4686037248518,0.029626,-0.040761,-0.013888,97.827,99.993,NA,NA,3.149,11.059,4.8856
5809,Venlafaxine_XR,normal,38.24909479267571,446.5234609208412,0.115587,-0.026692,-0.012957,64.062,93.288,1.557,14.191,34.549,60.71,16.7118
5810,Venlafaxine_XR,normal,81.4297737619653,623.4946428085428,0.069992,-0.03252,-0.013649,78.047,98.269,NA,7.758,21.494,38.974,10.7502
5811,Venlafaxine_XR,rapid,168.84618391132173,418.9321279665203,0.02701,-0.041342,-0.013889,99.22,99.999,NA,NA,0.12,6.607,4.4896
