id,drug,cyp2d6,CL_sampled,Vd_sampled,Css,dCdt_rel_24h,dCdt_rel_72h,pct_drop_24h,pct_drop_72h,t_75pct,t_50pct,t_25pct,t_10pct,AUC_deficit_7d
1594,Fluoxetine,poor,1.6403799956015894,2980.460793467359,0.232122,-4.42e-4,-3.78e-4,1.06,2.721,684.953,NA,NA,NA,1.2321
1595,Fluoxetine,rapid,3.691446626105217,2193.313171374089,0.20695,-0.001447,-0.001158,3.472,8.336,247.299,569.267,1070.139,NA,3.2938
1596,Fluoxetine,rapid,83.36509592291794,2219.64029164818,0.080213,-0.00388,-0.002722,9.311,19.595,100.732,269.862,559.31,941.941,2.8579
1597,Fluoxetine,normal,4.058446369562592,891.2533250395792,0.260277,-0.003124,-0.002321,7.498,16.711,122.635,347.655,843.755,NA,7.9373
1598,Fluoxetine,normal,4.948920397100217,1186.6746122921809,0.207284,-0.003046,-0.0023,7.311,16.557,121.665,318.67,680.321,1187.201,6.3268
1599,Fluoxetine,normal,13.44403868593066,928.7127735905522,0.076765,-0.009857,-0.0064,23.656,46.082,26.349,82.971,192.232,352.657,6.0426
1600,Fluoxetine,normal,39.47308109867419,1590.00688471396,0.115042,-0.003538,-0.002349,8.491,16.913,130.863,379.281,806.437,1371.113,3.4666
1601,Fluoxetine,normal,5.752951167269827,2593.4495442309326,0.144574,-0.001989,-0.001583,4.774,11.394,176.449,407.863,767.991,1214.24,3.134
1602,Fluoxetine,normal,9.628580403788826,1375.166539768118,0.11627,-0.004814,-0.003522,11.553,25.362,70.622,188.061,395.62,677.279,5.334
1603,Fluoxetine,normal,41.88084487090518,2245.002177772231,0.104522,-0.00305,-0.002219,7.32,15.973,130.916,348.781,723.718,1219.409,3.0497
1604,Fluoxetine,normal,25.64960935435564,1828.138705156015,0.094603,-0.004259,-0.003035,10.221,21.853,86.94,244.82,528.126,904.738,3.7179
1605,Fluoxetine,normal,8.54572523894383,2587.071913295864,0.148488,-0.001889,-0.001498,4.533,10.785,188.857,440.921,838.721,1337.002,3.0419
1606,Fluoxetine,normal,9.08800816372528,5257.908769170301,0.10364,-0.001217,-0.001015,2.922,7.311,257.502,552.741,999.398,NA,1.4804
1607,Fluoxetine,normal,3.429660516164893,1659.9264564758164,0.217364,-0.002023,-0.001591,4.855,11.452,179.223,425.949,819.135,1310.259,4.7046
1608,Fluoxetine,normal,3.300724458732602,2693.2903842620294,0.190186,-0.001171,-9.5e-4,2.81,6.842,296.908,673.086,1268.754,NA,2.5017
1609,Fluoxetine,normal,17.057219786482086,1235.8299223535369,0.107135,-0.005381,-0.003654,12.915,26.309,66.591,209.244,492.821,876.172,4.9529
1610,Fluoxetine,normal,2.7409348270882963,3249.706370250501,0.167171,-9.86e-4,-8.07e-4,2.367,5.813,355.266,838.807,NA,NA,1.8705
1611,Fluoxetine,normal,4.301578846448613,3955.0446636066818,0.127509,-0.001208,-9.87e-4,2.9,7.108,284.866,663.758,1301.86,NA,1.7452
1612,Fluoxetine,normal,2.285984640531827,3642.1736415001383,0.200647,-3.53e-4,-3.1e-4,0.846,2.233,748.617,NA,NA,NA,0.8824
1613,Fluoxetine,normal,6.643767093382542,1481.7771908527625,0.147495,-0.00357,-0.002703,8.568,19.465,98.759,249.116,500.421,825.912,5.2987
1614,Fluoxetine,poor,6.333444085908988,1670.5976613020232,0.121457,-0.003928,-0.002998,9.427,21.588,86.474,213.114,416.366,672.606,4.8498
1615,Fluoxetine,rapid,8.975286653501307,4308.451857484744,0.128961,-0.001148,-9.53e-4,2.754,6.861,275.984,589.45,1051.764,NA,1.7254
1616,Fluoxetine,normal,2.799751434365689,1924.093542941613,0.24504,-0.001328,-0.001064,3.188,7.661,271.826,628.751,1188.68,NA,3.5837
1617,Fluoxetine,normal,17.839979094120036,2382.5271258800326,0.07794,-0.004294,-0.003262,10.306,23.483,77.92,193.512,380.168,617.721,3.3707
1618,Fluoxetine,normal,15.818472234619716,920.96117173561,0.12161,-0.005977,-0.003815,14.344,27.467,61.26,226.186,568.84,1026.373,5.7483
1619,Fluoxetine,normal,38.7532741227947,2444.8968842584013,0.152913,-0.001632,-0.001223,3.917,8.808,268.178,685.839,1400.357,NA,2.4948
1620,Fluoxetine,rapid,15.04984666327875,1701.1341115774062,0.120624,-0.003633,-0.002664,8.719,19.178,102.753,282.01,610.568,1052.665,4.2036
1621,Fluoxetine,normal,27.325150107342544,3180.88280727673,0.151339,-0.001269,-0.001027,3.046,7.392,281.507,672.082,1336.831,NA,2.141
1622,Fluoxetine,normal,6.873578804022531,3157.8225853226068,0.150244,-0.001421,-0.001151,3.411,8.288,240.885,537.354,985.406,NA,2.3949
1623,Fluoxetine,rapid,16.4231289856077,1750.236501507949,0.140854,-0.002875,-0.002107,6.9,15.169,141.349,398.397,864.167,NA,3.8883
1624,Fluoxetine,normal,15.634060936192386,3087.495109870768,0.078108,-0.003388,-0.002664,8.13,19.183,98.533,231.233,434.697,682.836,2.8156
1625,Fluoxetine,normal,4.438102817139539,1013.3963713718172,0.207524,-0.003639,-0.002723,8.734,19.604,98.599,257.919,544.634,943.806,7.4574
1626,Fluoxetine,rapid,14.615482492996597,750.3061845588395,0.081926,-0.010666,-0.006484,25.599,46.682,22.975,82.572,220.792,431.545,6.4321
1627,Fluoxetine,normal,3.700945910999953,1477.516765698104,0.242232,-0.001971,-0.001538,4.731,11.074,189.808,466.305,929.947,NA,5.0448
1628,Fluoxetine,normal,17.791649644010207,1760.0090659670104,0.071032,-0.006141,-0.004425,14.739,31.862,51.473,138.064,285.484,479.802,4.049
1629,Fluoxetine,rapid,4.752265477749595,2788.075882036639,0.176719,-0.001288,-0.001042,3.092,7.505,269.366,604.855,1116.431,NA,2.5479
1630,Fluoxetine,normal,13.132002723756193,3754.864578489179,0.099157,-0.002117,-0.001712,5.081,12.323,157.956,353.827,648.409,1004.356,2.3435
1631,Fluoxetine,normal,5.939162159591874,2469.707016795793,0.197091,-0.001239,-9.95e-4,2.973,7.161,292.109,678.14,1294.162,NA,2.6961
1632,Fluoxetine,normal,16.3262602060934,1230.2143619582134,0.127215,-0.004479,-0.003055,10.749,21.999,87.595,282.717,661.462,1166.665,4.9324
1633,Fluoxetine,normal,5.493011210589625,3692.931938725904,0.124698,-0.001478,-0.0012,3.547,8.64,231.147,526.401,1002.753,NA,2.0716
1634,Fluoxetine,rapid,87.2284126858893,1472.0047821189917,0.076588,-0.004911,-0.003096,11.785,22.293,85.967,246.618,521.378,884.59,3.0688
1635,Fluoxetine,normal,9.36704532989184,2505.147456540085,0.120126,-0.002604,-0.002043,6.251,14.712,134.382,317.187,602.951,955.542,3.332
1636,Fluoxetine,normal,7.802536754254806,1523.319097420038,0.099837,-0.005198,-0.003879,12.475,27.928,62.313,158.193,312.579,506.876,5.0766
1637,Fluoxetine,normal,6.356260221731322,609.4222385374915,0.12658,-0.009361,-0.006244,22.467,44.955,28.564,85.856,190.983,343.592,9.7932
1638,Fluoxetine,rapid,6.625883258181398,1543.3605834991283,0.185819,-0.002542,-0.001939,6.102,13.961,149.118,387.244,817.928,1406.135,4.8123
1639,Fluoxetine,rapid,30.242252649576415,1499.152259502526,0.081572,-0.005695,-0.003797,13.668,27.338,62.62,194.275,435.883,756.817,3.9221
1640,Fluoxetine,normal,21.736185512750353,1816.8839978030649,0.167524,-0.002049,-0.001475,4.917,10.619,239.345,676.855,1432.412,NA,3.2204
1641,Fluoxetine,normal,3.0178053044938276,1738.0944907415912,0.222812,-0.001837,-0.001453,4.408,10.46,196.812,464.437,893.579,1438.208,4.4194
1642,Fluoxetine,rapid,27.72495024965072,688.8698608094645,0.106716,-0.007044,-0.003785,16.906,27.25,59.009,257.224,606.378,1067.938,4.9723
1643,Fluoxetine,normal,19.63468162845191,3740.436799281789,0.106957,-0.001915,-0.001559,4.597,11.227,173.564,389.988,727.99,1156.599,2.3098
1644,Fluoxetine,normal,8.098564088634335,1071.8195066988458,0.168989,-0.00403,-0.002892,9.673,20.82,93.087,276.533,666.323,1219.469,6.3088
1645,Fluoxetine,normal,2.37804159095483,2220.471157980576,0.215336,-0.00128,-0.001031,3.073,7.423,280.956,665.461,1313.716,NA,3.0555
1646,Fluoxetine,normal,3.9163231126226976,3820.4438941860303,0.153296,-8.99e-4,-7.45e-4,2.159,5.366,362.733,801.272,NA,NA,1.597
1647,Fluoxetine,rapid,6.439810460960814,6602.956105296133,0.112607,-5.2e-4,-4.6e-4,1.248,3.31,479.022,974.785,NA,NA,0.7466
1648,Fluoxetine,poor,3.299859387238745,2025.336268557029,0.256924,-0.001041,-8.38e-4,2.499,6.036,353.424,827.176,NA,NA,2.9624
1649,Fluoxetine,rapid,16.80122386258189,1561.8395950428796,0.13237,-0.003455,-0.002472,8.291,17.8,116.159,340.81,756.474,1309.847,4.2398
1650,Fluoxetine,normal,14.214030713493754,1154.537131917558,0.101505,-0.006188,-0.004224,14.851,30.416,53.522,162.328,382.904,692.65,5.4161
1651,Fluoxetine,rapid,28.422519577588584,923.07239131777,0.147722,-0.004054,-0.002346,9.729,16.889,154.954,510.511,1119.507,NA,4.2957
1652,Fluoxetine,normal,11.240841286068944,2342.1992539415264,0.109019,-0.003099,-0.002401,7.438,17.288,112.475,271.499,524.981,843.133,3.5237
1653,Fluoxetine,normal,7.53338752897772,2352.641764986132,0.166395,-0.001795,-0.001419,4.309,10.216,202.629,480.055,927.086,NA,3.2218
1654,Fluoxetine,rapid,34.13799284843631,1528.9947101070711,0.052483,-0.008628,-0.005617,20.708,40.445,32.896,103.546,235.865,414.914,3.6688
1655,Fluoxetine,poor,2.951293907043164,2157.815890143175,0.213644,-0.001403,-0.001126,3.367,8.104,254.386,588.321,1121.997,NA,3.3084
1656,Fluoxetine,normal,1.8736121874310323,1955.14269867828,0.269826,-0.001046,-8.48e-4,2.511,6.104,341.163,790.497,NA,NA,3.1581
1657,Fluoxetine,rapid,7.711060377994892,1161.3850009938974,0.12776,-0.005181,-0.003769,12.434,27.14,64.398,172.323,362.786,622.213,6.2486
1658,Fluoxetine,normal,3.170364370150769,2553.491555551296,0.185269,-0.001345,-0.001084,3.228,7.808,262.662,608.752,1175.353,NA,2.7705
1659,Fluoxetine,normal,36.77303891507314,1569.5257389832711,0.061131,-0.007196,-0.004725,17.271,34.019,43.999,137.399,309.719,539.563,3.6304
1660,Fluoxetine,rapid,17.610395224151002,2050.3718484823826,0.071259,-0.005374,-0.003979,12.898,28.648,60.132,154.732,309.859,508.813,3.7015
1661,Fluoxetine,normal,14.013962864539726,3084.4630573505924,0.125792,-0.001902,-0.001521,4.566,10.954,183.093,422.588,802.715,1287.155,2.6279
1662,Fluoxetine,normal,4.8068564449835955,2101.9894837793304,0.184242,-0.001851,-0.001465,4.443,10.546,194.578,456.019,866.305,1372.254,3.6861
1663,Fluoxetine,rapid,19.143706261697073,3471.6152810091567,0.08058,-0.002925,-0.002333,7.019,16.797,113.882,262.253,489.497,768.993,2.5654
1664,Fluoxetine,normal,6.076594568543172,2066.5229210455464,0.127119,-0.003018,-0.002349,7.243,16.911,115.081,276.022,532.603,856.644,4.0283
1665,Fluoxetine,normal,24.59532360972701,3679.8561806045295,0.149557,-0.001077,-8.98e-4,2.584,6.468,300.214,683.722,1326.789,NA,1.8821
1666,Fluoxetine,rapid,10.143792993086029,2189.8990397773628,0.185017,-0.001552,-0.001211,3.726,8.716,255.813,654.29,1353.29,NA,3.0278
